Id,Id2,Geography,Total; Estimate; Population 5 years and over,Total; Estimate; Speak only English,Total; Margin of Error; Speak only English
0500000US31103,31103,"Keya Paha County, Nebraska",689,99.1,1.3
0500000US20001,20001,"Allen County, Kansas",12539,99,0.4
0500000US21137,21137,"Lincoln County, Kentucky",22988,99,0.5
0500000US29223,29223,"Wayne County, Missouri",12745,99,0.6
0500000US17171,17171,"Scott County, Illinois",5001,98.9,0.7
0500000US21169,21169,"Metcalfe County, Kentucky",9381,98.9,0.8
0500000US21193,21193,"Perry County, Kentucky",26770,98.9,0.4
0500000US28037,28037,"Franklin County, Mississippi",7502,98.9,0.8
0500000US47061,47061,"Grundy County, Tennessee",12882,98.9,0.4
0500000US54095,54095,"Tyler County, West Virginia",8664,98.9,0.4
0500000US01091,1091,"Marengo County, Alabama",19439,98.8,0.8
0500000US21039,21039,"Carlisle County, Kentucky",4749,98.8,0.7
0500000US29049,29049,"Clinton County, Missouri",19380,98.8,0.4
0500000US30007,30007,"Broadwater County, Montana",5371,98.8,0.8
0500000US42023,42023,"Cameron County, Pennsylvania",4793,98.8,0.5
0500000US45023,45023,"Chester County, South Carolina",30785,98.8,0.4
0500000US54045,54045,"Logan County, West Virginia",34525,98.8,0.4
0500000US01025,1025,"Clarke County, Alabama",24086,98.7,0.6
0500000US21197,21197,"Powell County, Kentucky",11724,98.7,0.6
0500000US21235,21235,"Whitley County, Kentucky",33386,98.7,0.5
0500000US28095,28095,"Monroe County, Mississippi",34378,98.7,0.4
0500000US01053,1053,"Escambia County, Alabama",35813,98.6,0.5
0500000US54087,54087,"Roane County, West Virginia",13985,98.6,0.6
0500000US05049,5049,"Fulton County, Arkansas",11661,98.5,1.1
0500000US19071,19071,"Fremont County, Iowa",6840,98.5,0.5
0500000US20107,20107,"Linn County, Kansas",9051,98.5,0.8
0500000US17129,17129,"Menard County, Illinois",11990,98.4,0.5
0500000US17175,17175,"Stark County, Illinois",5645,98.4,0.5
0500000US18009,18009,"Blackford County, Indiana",11920,98.4,0.8
0500000US22067,22067,"Morehouse Parish, Louisiana",25643,98.4,0.6
0500000US13239,13239,"Quitman County, Georgia",2271,98.3,1.8
0500000US20005,20005,"Atchison County, Kansas",15806,98.3,0.7
0500000US29025,29025,"Caldwell County, Missouri",8705,98.3,0.7
0500000US17125,17125,"Mason County, Illinois",13795,98.2,0.6
0500000US17169,17169,"Schuyler County, Illinois",7096,98.2,0.6
0500000US19107,19107,"Keokuk County, Iowa",9784,98.2,0.6
0500000US22037,22037,"East Feliciana Parish, Louisiana",19018,98.2,0.7
0500000US29209,29209,"Stone County, Missouri",30445,98.2,0.5
0500000US39163,39163,"Vinton County, Ohio",12613,98.2,0.6
0500000US47115,47115,"Marion County, Tennessee",26759,98.2,0.5
0500000US13167,13167,"Johnson County, Georgia",9403,98.1,0.7
0500000US13269,13269,"Taylor County, Georgia",8082,98.1,0.6
0500000US17127,17127,"Massac County, Illinois",14349,98.1,0.8
0500000US29089,29089,"Howard County, Missouri",9577,98.1,0.8
0500000US29171,29171,"Putnam County, Missouri",4677,98.1,0.9
0500000US17023,17023,"Clark County, Illinois",15316,98,0.6
0500000US19023,19023,"Butler County, Iowa",13954,98,0.5
0500000US51036,51036,"Charles City County, Virginia",6918,98,0.7
0500000US26031,26031,"Cheboygan County, Michigan",24842,97.9,0.5
0500000US29015,29015,"Benton County, Missouri",18236,97.9,0.8
0500000US12003,12003,"Baker County, Florida",25250,97.8,0.7
0500000US18123,18123,"Perry County, Indiana",18267,97.8,0.9
0500000US18165,18165,"Vermillion County, Indiana",15247,97.8,0.9
0500000US29151,29151,"Osage County, Missouri",13007,97.8,0.9
0500000US05111,5111,"Poinsett County, Arkansas",22779,97.7,0.7
0500000US16017,16017,"Bonner County, Idaho",38690,97.7,0.6
0500000US19075,19075,"Grundy County, Iowa",11618,97.7,0.5
0500000US38075,38075,"Renville County, North Dakota",2346,97.7,1.1
0500000US51115,51115,"Mathews County, Virginia",8727,97.7,1.4
0500000US13169,13169,"Jones County, Georgia",26881,97.6,1.1
0500000US26119,26119,"Montmorency County, Michigan",9271,97.6,0.7
0500000US29203,29203,"Shannon County, Missouri",7861,97.6,1.3
0500000US31021,31021,"Burt County, Nebraska",6378,97.6,1
0500000US17003,17003,"Alexander County, Illinois",7521,97.5,1.4
0500000US29127,29127,"Marion County, Missouri",26808,97.5,0.6
0500000US38019,38019,"Cavalier County, North Dakota",3777,97.5,1
0500000US30015,30015,"Chouteau County, Montana",5466,97.4,0.8
0500000US46019,46019,"Butte County, South Dakota",9483,97.4,1.2
0500000US27167,27167,"Wilkin County, Minnesota",6199,97,1
0500000US38009,38009,"Bottineau County, North Dakota",6169,97,0.9
0500000US13023,13023,"Bleckley County, Georgia",12287,96.8,1.9
0500000US17005,17005,"Bond County, Illinois",16448,96.6,1.3
0500000US55003,55003,"Ashland County, Wisconsin",15095,96.6,0.7
0500000US46049,46049,"Faulk County, South Dakota",2204,96.1,2.9
0500000US51049,51049,"Cumberland County, Virginia",9351,95.8,3.5
0500000US46085,46085,"Lyman County, South Dakota",3507,95.4,1.5
0500000US53069,53069,"Wahkiakum County, Washington",3849,95.4,1.7
0500000US02060,2060,"Bristol Bay Borough, Alaska",883,94.8,2.1
0500000US08053,8053,"Hinsdale County, Colorado",745,90.9,4
0500000US28063,28063,"Jefferson County, Mississippi",7095,99.6,0.6
0500000US01105,1105,"Perry County, Alabama",9671,99.2,0.5
0500000US28053,28053,"Humphreys County, Mississippi",8465,99.2,0.3
0500000US29017,29017,"Bollinger County, Missouri",11626,99.2,0.5
0500000US05025,5025,"Cleveland County, Arkansas",8165,99.1,0.4
0500000US31165,31165,"Sioux County, Nebraska",1193,99.1,0.9
0500000US51167,51167,"Russell County, Virginia",27085,99.1,0.6
0500000US28157,28157,"Wilkinson County, Mississippi",8966,99,0.7
0500000US54007,54007,"Braxton County, West Virginia",13755,99,0.4
0500000US54083,54083,"Randolph County, West Virginia",27854,99,0.4
0500000US28061,28061,"Jasper County, Mississippi",15731,98.9,0.8
0500000US20131,20131,"Nemaha County, Kansas",9498,98.8,0.4
0500000US54041,54041,"Lewis County, West Virginia",15464,98.8,0.4
0500000US54057,54057,"Mineral County, West Virginia",26502,98.8,0.5
0500000US01047,1047,"Dallas County, Alabama",40085,98.7,0.4
0500000US01099,1099,"Monroe County, Alabama",21380,98.7,0.7
0500000US20073,20073,"Greenwood County, Kansas",6224,98.7,0.7
0500000US21011,21011,"Bath County, Kentucky",10927,98.7,0.7
0500000US28077,28077,"Lawrence County, Mississippi",11828,98.7,0.8
0500000US29139,29139,"Montgomery County, Missouri",11387,98.7,0.5
0500000US30025,30025,"Fallon County, Montana",2820,98.7,0.7
0500000US46097,46097,"Miner County, South Dakota",2204,98.7,1.3
0500000US47017,47017,"Carroll County, Tennessee",26850,98.7,0.5
0500000US54059,54059,"Mingo County, West Virginia",24854,98.7,0.5
0500000US21089,21089,"Greenup County, Kentucky",34755,98.6,0.4
0500000US29181,29181,"Ripley County, Missouri",13224,98.6,0.5
0500000US39033,39033,"Crawford County, Ohio",40929,98.6,0.5
0500000US51185,51185,"Tazewell County, Virginia",42351,98.6,0.5
0500000US05129,5129,"Searcy County, Arkansas",7696,98.5,0.9
0500000US21195,21195,"Pike County, Kentucky",60693,98.5,0.3
0500000US29055,29055,"Crawford County, Missouri",23123,98.5,0.5
0500000US29143,29143,"New Madrid County, Missouri",17524,98.5,0.5
0500000US39037,39037,"Darke County, Ohio",49248,98.5,0.3
0500000US42057,42057,"Fulton County, Pennsylvania",13925,98.5,0.3
0500000US17013,17013,"Calhoun County, Illinois",4788,98.4,0.9
0500000US26039,26039,"Crawford County, Michigan",13424,98.4,0.5
0500000US39027,39027,"Clinton County, Ohio",39436,98.4,0.4
0500000US13025,13025,"Brantley County, Georgia",17119,98.3,1
0500000US21087,21087,"Green County, Kentucky",10600,98.3,0.8
0500000US26079,26079,"Kalkaska County, Michigan",16154,98.3,0.5
0500000US45087,45087,"Union County, South Carolina",26921,98.3,0.5
0500000US47133,47133,"Overton County, Tennessee",20771,98.3,0.5
0500000US54107,54107,"Wood County, West Virginia",81776,98.3,0.3
0500000US56045,56045,"Weston County, Wyoming",6708,98.3,0.9
0500000US13231,13231,"Pike County, Georgia",16855,98.2,0.6
0500000US19085,19085,"Harrison County, Iowa",13871,98.2,0.6
0500000US21199,21199,"Pulaski County, Kentucky",59581,98.2,0.4
0500000US54079,54079,"Putnam County, West Virginia",52706,98.2,0.5
0500000US05107,5107,"Phillips County, Arkansas",19606,98.1,0.8
0500000US31177,31177,"Washington County, Nebraska",19097,98.1,0.6
0500000US42047,42047,"Elk County, Pennsylvania",30304,98.1,0.4
0500000US42121,42121,"Venango County, Pennsylvania",51589,98.1,0.3
0500000US54019,54019,"Fayette County, West Virginia",43232,98.1,0.4
0500000US13301,13301,"Warren County, Georgia",5373,98,1.9
0500000US19175,19175,"Union County, Iowa",11782,98,0.8
0500000US22119,22119,"Webster Parish, Louisiana",38443,98,0.5
0500000US30091,30091,"Sheridan County, Montana",3327,98,1.1
0500000US47049,47049,"Fentress County, Tennessee",16991,98,1
0500000US39013,39013,"Belmont County, Ohio",66548,97.9,0.3
0500000US46105,46105,"Perkins County, South Dakota",2785,97.9,0.9
0500000US47019,47019,"Carter County, Tennessee",54522,97.9,0.5
0500000US47081,47081,"Hickman County, Tennessee",23121,97.9,0.7
0500000US51119,51119,"Middlesex County, Virginia",10467,97.9,0.9
0500000US18029,18029,"Dearborn County, Indiana",47008,97.8,0.4
0500000US19181,19181,"Warren County, Iowa",43676,97.8,0.5
0500000US20011,20011,"Bourbon County, Kansas",13966,97.8,0.7
0500000US27061,27061,"Itasca County, Minnesota",42772,97.8,0.3
0500000US16079,16079,"Shoshone County, Idaho",12107,97.7,0.9
0500000US17191,17191,"Wayne County, Illinois",15604,97.7,0.8
0500000US17203,17203,"Woodford County, Illinois",36394,97.7,0.4
0500000US20087,20087,"Jefferson County, Kansas",17912,97.7,0.8
0500000US27121,27121,"Pope County, Minnesota",10332,97.7,0.5
0500000US17071,17071,"Henderson County, Illinois",6840,97.6,1.4
0500000US17149,17149,"Pike County, Illinois",15378,97.6,1
0500000US27075,27075,"Lake County, Minnesota",10234,97.6,0.7
0500000US30011,30011,"Carter County, Montana",1194,97.6,1.2
0500000US40053,40053,"Grant County, Oklahoma",4278,97.6,0.8
0500000US46125,46125,"Turner County, South Dakota",7831,97.6,0.6
0500000US17153,17153,"Pulaski County, Illinois",5694,97.5,1.3
0500000US29105,29105,"Laclede County, Missouri",33280,97.5,0.7
0500000US51077,51077,"Grayson County, Virginia",14691,97.5,0.7
0500000US21143,21143,"Lyon County, Kentucky",8096,97.4,1.4
0500000US26043,26043,"Dickinson County, Michigan",24878,97.4,0.7
0500000US27059,27059,"Isanti County, Minnesota",35447,97.4,0.5
0500000US55051,55051,"Iron County, Wisconsin",5726,97.4,0.8
0500000US13191,13191,"McIntosh County, Georgia",13559,97.3,1.4
0500000US19027,19027,"Carroll County, Iowa",19349,97.3,0.9
0500000US31083,31083,"Harlan County, Nebraska",3264,97.3,1
0500000US16059,16059,"Lemhi County, Idaho",7485,97.2,1
0500000US19093,19093,"Ida County, Iowa",6615,97.2,1.2
0500000US20163,20163,"Rooks County, Kansas",4887,97.2,1.3
0500000US22035,22035,"East Carroll Parish, Louisiana",7093,97.2,1.2
0500000US39131,39131,"Pike County, Ohio",26830,97.2,1.2
0500000US49025,49025,"Kane County, Utah",6750,97.2,1.4
0500000US51073,51073,"Gloucester County, Virginia",35015,97.2,0.7
